"NOM","XL93","YL93","FROM","TO","C10C40_LD","OUT","ECH","EP","ALT","LITHO","GEOLE","CLC","Copernic","GEOBAP","COPER_H2","GEOBAP_H2","GEO_COPER_H2","dist_basias","dist_basol","dist_centre","dist_eau","dist_route","C10C40"
"0311328A_SLE03",574961.6454,6278551.723,0,0.05,"<",1,"S2",0.05,144.8836266,18,6,8,15,3,2,2,21,106.1757813,559.5077515,1459.425537,325.576416,10,20
"0311479P-0311479P_P_SLE04",574746.2466,6278275.71,0,0.05,"<",9,"S2",0.05,144,18,6,8,15,3,2,2,21,126.288147,203.5429535,1551.935425,560.8921509,10,20
"0311479P-0311479P_P_SLE05",574097.2118,6277866.183,0,0.05,"<",1,"S2",0.05,139.8180028,18,6,2,7,7,4,3,42,179.5326538,584.9832153,1754.673462,134.1640778,41.23105621,20
"0311631E_SLE04",574728.352,6278561.637,0,0.05,"<",9,"S2",0.05,145.1137072,18,6,8,15,3,2,2,21,68.24790192,465.971405,1297.961182,556.5968018,20,20
"0311719A_SLU01",573466.5536,6280332.485,0,0.05,"=",1,"S2",0.05,137.9491705,6,3,2,15,7,2,3,21,104.7571335,442.1641541,874.8816528,331.0588989,72.11102295,65
"0311883D_SLU01",574860.8044,6278671.033,0,0.05,"=",9,"S2",0.05,144,18,6,8,15,3,2,2,21,166.35112,609.8833618,1296.661743,420.1190186,36.05551147,35
"0311964SSLE05",568972.0211,6279537.611,0,0.05,"<",1,"S2",0.05,140.296396,5,3,14,19,1,1,1,11,252.8148193,1477.847412,4986.885254,67.08203888,228.03508,20
"0312004KSLE05",572921.5055,6276922.712,0,0.05,"<",1,"S2",0.05,139.3040539,6,3,2,9,7,4,3,41,206.9646759,1298.696289,2885.964844,40,0,20
"0312151V_SLU01",573823.7657,6281796.035,0,0.05,"=",9,"S2",0.05,138.2009083,6,3,2,2,7,3,3,31,162.1040955,514.5609741,2184.682129,854.7514038,14.14213562,24
"0312178Z_0310227D_SLU02",575026.5153,6282648.698,0,0.05,"<",1,"S2",0.05,138,6,3,2,15,7,2,3,21,357.5875549,1743.824097,3221.08667,1846.104004,98.4885788,12
"0312356TSLE03",577808.6567,6278152.047,0,0.05,"<",1,"S2",0.05,160.8943508,11,5,2,15,7,2,3,22,321.3737793,1613.325684,4111.402832,637.887146,121.6552505,20
"0312356TSLE04",577671.3867,6277831.977,0,0.05,"<",1,"S2",0.05,166.0791996,15,5,2,15,7,2,3,22,668.4081421,1531.098633,4108.960449,804.1144409,70.7106781,20
"310795000_SLU01",574876.4853,6279152.555,0,0.05,"<",1,"S2",0.05,145.2177134,18,6,1,9,6,4,3,41,87.19091797,1074.572021,1022.682129,440,0,12
"310795000_SLU02",575196.2235,6279474.215,0,0.05,"<",1,"S2",0.05,148.1819972,18,6,1,7,6,4,3,41,48.74440002,1314.798096,1241.471558,160.3121948,10,12
"FGU-TLS-0",570939.18,6285739.498,0,0.05,"<",1,"S2",0.05,130.0165888,7,4,16,17,1,1,1,11,139.113678,923.9877319,6836.749512,349.8571167,30,20
"FGU-TLS-1",577796.6749,6273872.399,0,0.05,"<",1,"S2",0.05,143,5,3,2,19,7,1,3,12,659.2834473,1387.825562,6902.120605,537.5872192,22.36067963,10
"FGU-TLS-10",568659.6445,6285638.249,0,0.05,"<",1,"S2",0.05,144,4,2,3,11,8,4,4,42,944.0040283,2390.108643,8032.673828,1024.597534,40,20
"FGU-TLS-11",574340.9609,6273124.663,0,0.05,"=",1,"S2",0.05,194.2917209,11,5,18,4,4,3,2,32,970.5258179,1247.324463,6500.325195,531.5072632,14.14213562,11
"FGU-TLS-12",571847.1131,6275052.958,0,0.05,"=",1,"S2",0.05,145.9493343,6,3,9,15,5,2,2,21,299.9923706,953.4838257,5026.819824,136.0147095,56.56854248,39
"FGU-TLS-13",577091.8734,6281179.271,0,0.05,"=",1,"S2",0.05,136,5,3,9,15,5,2,2,21,591.1717529,1056.859375,3505.091797,392.9376526,22.36067963,120
"FGU-TLS-14",582346.0947,6281891.578,0,0.05,"<",1,"S2",0.05,195.9468003,15,5,2,2,7,3,3,32,1482.786011,1862.719482,8688.213867,3337.439209,20,20
"FGU-TLS-15",563376.3138,6287167.791,0,0.05,"<",1,"S2",0.05,176.1478904,2,1,9,19,5,1,2,12,706.3330688,2701.192139,13008.91309,281.7800598,22.36067963,20
"FGU-TLS-16",580119.3305,6279455.342,0,0.05,"=",1,"S2",0.05,175.9515675,11,5,2,14,7,4,3,42,2181.081787,3869.618652,6155.668945,1922.00415,70.7106781,31
"FGU-TLS-17",579312.5968,6274727.3,0,0.05,"=",1,"S2",0.05,149,3,2,13,19,4,1,2,12,226.630127,662.7155151,7243.709961,954.6203613,50,24
"FGU-TLS-18",577607.7714,6281256.049,0,0.05,"<",1,"S2",0.05,136.3819942,5,3,13,17,4,1,2,11,703.6676025,1327.674805,3995.847656,114.01754,150.332962,20
"FGU-TLS-19",580375.3907,6281176.832,0,0.05,"=",1,"S2",0.05,208.4346886,16,5,2,2,7,3,3,32,2315.138184,3182.433838,6603.066406,2810.498291,56.56854248,23
"FGU-TLS-20",566606.6579,6280516.323,0,0.05,"<",1,"S2",0.05,155.8172473,4,2,2,16,7,2,3,22,627.1763306,541.7302246,7411.300781,2422.436768,28.28427124,20
"FGU-TLS-21",578450.7597,6286413.176,0,0.05,"<",1,"S2",0.05,202.0431993,16,5,2,2,7,3,3,32,197.3863678,3428.205078,8145.45166,304.1381226,28.28427124,20
"FGU-TLS-22",566616.8005,6272343.146,0,0.05,"=",1,"S2",0.05,166.9216012,4,2,2,7,7,4,3,42,401.7694702,2451.914307,10335.20117,1578.353516,28.28427124,39
"FGU-TLS-24",567459.3568,6289350.247,0,0.05,"<",1,"S2",0.05,123.2072008,13,5,2,13,7,4,3,42,431.1059875,3249.022217,11713.62598,127.2792206,10,20
"FGU-TLS-25",569516.6258,6283031.719,0,0.05,"<",1,"S2",0.05,146.9292314,4,2,2,9,7,4,3,42,400.0126648,385.8487854,5609.790039,58.30952072,0,20
"FGU-TLS-26",565932.8681,6282313.518,0,0.05,"<",1,"S2",0.05,169.5396016,17,6,15,17,4,1,2,11,2017.964722,1299.304932,8468.492188,1726.962646,40,20
"FGU-TLS-27",570037.7585,6278216.63,0,0.05,"<",1,"S2",0.05,154,4,2,2,19,7,1,3,12,185.3022766,311.1853027,4165.039063,1330.939575,143.1782074,20
"FGU-TLS-28",571594.7798,6278098.383,0,0.05,"<",1,"S2",0.05,140.1819972,6,3,2,15,7,2,3,21,162.6616669,510.9780273,2806.898682,1647.93811,14.14213562,20
"FGU-TLS-29",563969.4685,6277108.12,0,0.05,"<",1,"S2",0.05,162.1999755,4,2,2,15,7,2,3,22,524.6817017,3903.388916,10304.16992,629.6824341,36.05551147,20
"FGU-TLS-3",577474.0946,6283837.493,0,0.05,"=",1,"S2",0.05,137.1395979,5,3,17,3,4,3,2,31,443.7328796,964.3692017,5499.257813,90,72.80110168,28
"FGU-TLS-30",572489.4993,6289608.767,0,0.05,"<",1,"S2",0.05,127,5,3,2,7,7,4,3,41,594.7332153,796.8473511,10108.81543,238.5372162,22.36067963,20
"FGU-TLS-31",560839.152,6281795.735,0,0.05,"<",1,"S2",0.05,158.0812213,5,3,13,19,4,1,2,11,1547.80896,5725.989746,13306.26172,3026.879639,72.80110168,20
"FGU-TLS-32",569389.0598,6273761.018,0,0.05,"=",1,"S2",0.05,161.0179997,4,2,2,7,7,4,3,42,295.1967163,1248.775513,7427.046875,1428.985596,67.08203888,30
"FGU-TLS-34",566936.6412,6277401.262,0,0.05,"<",1,"S2",0.05,146.7316263,5,3,8,19,3,1,2,11,433.7664185,1427.169434,7365.632324,98.4885788,50,20
"FGU-TLS-35",574101.0833,6276662.209,0,0.05,"<",1,"S2",0.05,142,6,3,2,2,7,3,3,31,57.90523529,692.4783936,2952.604248,460.6517029,58.30952072,20
"FGU-TLS-36",570297.138,6286311.667,0,0.05,"<",1,"S2",0.05,123,7,4,15,20,4,2,2,21,890.0693359,1746.987183,7637.939453,210,67.08203888,20
"FGU-TLS-37",574902.8516,6282512.42,0,0.05,"<",9,"S2",0.05,138,6,3,2,15,7,2,3,21,457.8703918,1709.157959,3050.052002,1685.140991,60,20
"FGU-TLS-38",571001.8049,6279380.946,0,0.05,"<",9,"S2",0.05,140.5715531,6,3,8,15,3,2,2,21,115.1069794,374.6626587,2965.300537,1004.489929,70,20
"FGU-TLS-39",575798.2731,6280357.304,0,0.05,"=",1,"S2",0.05,192.1819972,8,5,2,15,7,2,3,22,204.0056305,868.8852539,1981.216553,621.7716675,10,24
"FGU-TLS-4",578938.3549,6275325.777,0,0.05,"=",1,"S2",0.05,144.9820003,5,3,13,19,4,1,2,11,199.7092285,400.0392761,6567.891113,788.1624146,78.10249329,19
"FGU-TLS-5",570682.4489,6276060.273,0,0.05,"<",1,"S2",0.05,146.4963992,6,3,8,7,3,4,2,41,575.2897339,1366.965698,4830.560547,80,40,10
"FGU-TLS-6",581416.0625,6276948.89,0,0.05,"=",1,"S2",0.05,147.2783958,5,3,2,16,7,2,3,21,2554.919189,2603.739014,7913.881348,2640,63.24555206,15
"FGU-TLS-7",579283.9949,6279621.168,0,0.05,"<",1,"S2",0.05,181.6891735,16,5,2,15,7,2,3,22,1597.775146,3375.851074,5323.610352,1245.552124,44.72135925,20
"FGU-TLS-8",580231.4874,6275748.244,0,0.05,"=",1,"S2",0.05,154.1207982,15,5,2,15,7,2,3,22,902.8157959,965.215332,7357.244141,1662.077026,30,29
"FGU-TLS-9",581314.3537,6284156.074,0,0.05,"<",1,"S2",0.05,148.5335725,5,3,9,16,5,2,2,21,854.5519409,1274.430298,8642.386719,1223.315186,10,20
"SLU_0310950P_01",576355.3396,6277179.518,0,0.05,"<",1,"S2",0.05,153.3355508,15,5,2,15,7,2,3,22,291.141571,1091.313477,3410.598145,490.4079895,14.14213562,20
"SLU_0311008C_01",578093.5946,6278139.681,0,0.05,"<",1,"S2",0.05,142.8037309,5,3,3,15,8,2,4,21,281.2348633,1903.360107,4387.062012,350,30,20
"SLU_310785878_01",576200.7147,6279353.365,0,0.05,"<",1,"S2",0.05,183.6424041,15,5,2,7,7,4,3,42,106.2925034,1090.420044,2248.633057,802.2468262,22.36067963,20
