"NOM","XL93","YL93","FROM","TO","C10C40_LD","OUT","ECH","EP","ALT","LITHO","GEOLE","CLC","Copernic","GEOBAP","COPER_H2","GEOBAP_H2","GEO_COPER_H2","dist_basias","dist_basol","dist_centre","dist_eau","dist_route","C10C40"
"P19",571900.61,6279113.93,0,0.5,"=",1,"E1",0.5,139,6,3,3,7,8,4,4,41,168.9892731,546.7238159,2125.932617,667.3080444,36.05551147,60
"ZTP4",567740.2,6272255.78,0,0.7,"<",1,"E1",0.7,165,4,2,3,7,8,4,4,42,219.539917,1653.29541,9640.097656,464.8655701,36.05551147,20
"P273",571507.29,6279412.27,0,0.5,"=",1,"E1",0.5,139,6,3,3,7,8,4,4,41,103.1126404,866.3932495,2464.494385,657.6473389,53.85164642,20
"GR09",572080.14,6279057.29,0,0.5,"<",1,"E1",0.5,139,6,3,2,7,7,4,3,41,150.9646912,565.756958,1964.826538,621.6912231,42.42640686,20
"P249",571528.2,6279209.33,0,0.5,"<",1,"E1",0.5,139,6,3,3,7,8,4,4,41,209.4022369,686.3286133,2468.948975,795.1100464,110,20
"P53",571600.43,6282311.36,0.2,1.2,"<",1,"E1",1,132.7553335,6,3,13,19,4,1,2,11,292.4629517,606.1266479,3590.559326,554.6170044,85.44004059,20
"P136",571674.73,6279116.34,0,0.5,"=",1,"E1",0.5,139,6,3,3,7,8,4,4,41,221.3683319,546.4822998,2340.343018,790.2531128,22.36067963,170
"TM3",571474.41,6282557.14,0,0.5,"<",1,"E1",0.5,130.4078917,6,3,13,17,4,1,2,11,455.3686218,816.4039917,3858.388672,351.1409912,44.72135925,20
"SP3T3",568005.65,6272356.73,0,0.5,"<",1,"E1",0.5,164.7043453,4,2,3,7,8,4,4,42,510.9737549,1515.969116,9382.703125,310.6445007,53.85164642,20
"TM37",571486.68,6282457.63,0.5,1,"=",9,"E1",0.5,131,6,3,13,12,4,4,2,41,411.1065369,761.3563232,3775.904053,398.120575,10,70
"P176",571620.87,6279120.37,0,0.7,"<",1,"E1",0.7,139,6,3,3,7,8,4,4,41,234.3935547,571.1210938,2396.931641,815.4140015,30,20
"CUVT2T3",567869.69,6272343.77,0,1,"=",1,"E1",1,165,4,2,3,7,8,4,4,42,376.2304688,1605.757568,9487.511719,392.045929,20,45
"SP3T6",567993.54,6272303.9,0,0.5,"<",1,"E1",0.5,165,4,2,3,7,8,4,4,42,476.4009705,1481.890625,9435.458984,269.0724792,44.72135925,20
"P173",571625.82,6279180.19,0,0.6,"=",1,"E1",0.6,139,6,3,3,7,8,4,4,41,178.3332214,626.0524902,2375.563965,760.0657959,90,35
"GE05",571949.05,6278801.65,0,0.5,"<",9,"E1",0.5,140,6,3,3,7,8,4,4,41,197.2069397,276.7788696,2172.852783,912.3595581,70,20
"P215",571569.75,6279225.5,0,0.5,"=",9,"E1",0.5,139,6,3,3,7,8,4,4,41,177.7236481,681.6915283,2427.860352,762.1679688,121.6552505,20
"P105",571731.02,6279230.46,0,0.5,"=",1,"E1",0.5,139,6,3,3,7,8,4,4,41,94.68228912,658.1062012,2268.384033,662.8725586,42.42640686,340
