N;NOM;XL93;YL93;FROM;TO;C10C40_LD;C10C40;OUT;ECH;EP;ALT;LITHO;GEOLE;CLC;Copernic;GEOBAP;COPER_H2;GEOBAP_H2;GEO_COPER_H2;dist_basias;dist_basol;dist_centre;dist_eau;dist_route
1090;P48;571832.39;6279241.08;0;0.6;<;20;1;E1;0.6;139;6;3;3;7;8;4;4;41;131.2236938;667.3410645;2158.278564;590.762207;22.36067963
1091;P48;571832.39;6279241.08;0.6;1.1;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;131.2236938;667.3410645;2158.278564;590.762207;22.36067963
1092;P47;571833.64;6279257.74;0;0.6;<;20;9;E1;0.6;139;6;3;2;7;7;4;3;41;112.0555954;687.2852173;2154.943848;574.2821655;10
1093;P47;571833.64;6279257.74;0.6;1.3;<;20;1;E1;0.7;139;6;3;2;7;7;4;3;41;112.0555954;687.2852173;2154.943848;574.2821655;10
1094;P46;571837.08;6279079.69;0;0.5;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;233.7095947;507.9465942;2191.354004;724.0166016;10
1095;P46;571837.08;6279079.69;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;233.7095947;507.9465942;2191.354004;724.0166016;10
1096;P45;571839.09;6279099.62;0;0.5;=;35;1;E1;0.5;139;6;3;3;7;8;4;4;41;221.5332336;527.8508911;2186.606689;707.2481689;30
1097;P45;571839.09;6279099.62;0.5;1.4;<;20;1;E1;0.9;139;6;3;3;7;8;4;4;41;221.5332336;527.8508911;2186.606689;707.2481689;30
1098;P44;571840.84;6279119.47;0;0.5;<;30;1;E1;0.5;139;6;3;3;7;8;4;4;41;210.5558777;547.762146;2182.032471;690.6518555;50
1099;P44;571840.84;6279119.47;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;210.5558777;547.762146;2182.032471;690.6518555;50
1100;P43;571842.79;6279139.48;0;0.5;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;192.0483704;568.6582031;2167.868652;668.5057983;40
1101;P43;571842.79;6279139.48;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;192.0483704;568.6582031;2167.868652;668.5057983;40
1102;P42;571844.77;6279159.55;0;0.5;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;181.8787994;588.5481567;2163.624512;651.9202271;20
1103;P42;571844.77;6279159.55;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;181.8787994;588.5481567;2163.624512;651.9202271;20
1104;P41;571846.64;6279179.34;0;0.5;<;20;9;E1;0.5;139;6;3;3;9;8;4;4;41;166.9032593;608.4453735;2159.557373;635.1377563;0
1105;P41;571846.64;6279179.34;0.5;1.5;<;20;9;E1;1;139;6;3;3;9;8;4;4;41;166.9032593;608.4453735;2159.557373;635.1377563;0
1106;P40;571848.47;6279199.22;0;0.5;<;20;9;E1;0.5;139;6;3;3;7;8;4;4;41;153.0800323;628.3490601;2155.667969;618.5466919;14.14213562
1107;P40;571848.47;6279199.22;0.5;1.5;<;20;9;E1;1;139;6;3;3;7;8;4;4;41;153.0800323;628.3490601;2155.667969;618.5466919;14.14213562
1108;P39;571850.41;6279219.15;0;0.5;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;140.749054;648.258667;2151.95752;602.0797119;28.28427124
1109;P39;571850.41;6279219.15;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;140.749054;648.258667;2151.95752;602.0797119;28.28427124
1110;P38;571852.26;6279238.98;0;0.5;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;121.5693054;669.1547852;2138.57666;579.8275757;10
1111;P38;571852.26;6279238.98;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;121.5693054;669.1547852;2138.57666;579.8275757;10
1112;P37;571857.28;6279077.95;0;0.5;<;20;9;E1;0.5;139;6;3;3;7;8;4;4;41;218.6416626;510.3270874;2171.952148;713.4423828;10
1113;P37;571857.28;6279077.95;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;218.6416626;510.3270874;2171.952148;713.4423828;10
1114;P36;571859.12;6279097.74;0;0.5;=;30;1;E1;0.5;139;6;3;3;7;8;4;4;41;205.5747528;530.1419678;2167.162354;696.4194336;30
1115;P36;571859.12;6279097.74;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;205.5747528;530.1419678;2167.162354;696.4194336;30
1116;P35;571860.88;6279117.65;0;0.5;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;193.6950531;549.9702759;2162.547119;679.5586548;50
1117;P35;571860.88;6279117.65;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;193.6950531;549.9702759;2162.547119;679.5586548;50
1118;P34;571862.87;6279137.58;0;0.5;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;174.5467682;571.1358032;2148.3479;657.3431396;40
1119;P34;571862.87;6279137.58;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;174.5467682;571.1358032;2148.3479;657.3431396;40
1120;P33;571864.56;6279157.64;0;0.5;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;165.2978363;590.9424438;2144.065186;640.7027588;20
1121;P33;571864.56;6279157.64;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;165.2978363;590.9424438;2144.065186;640.7027588;20
1122;P32;571866.58;6279177.44;0;0.5;=;25;9;E1;0.5;139;6;3;3;9;8;4;4;41;153.7553101;610.7615967;2139.960693;624.2595825;0
1123;P32;571866.58;6279177.44;0.5;1.5;<;20;1;E1;1;139;6;3;3;9;8;4;4;41;153.7553101;610.7615967;2139.960693;624.2595825;0
1124;P31;571868.59;6279197.1;0;0.5;<;20;9;E1;0.5;139;6;3;3;7;8;4;4;41;138.627182;630.5922241;2136.035645;607.4536743;20
1125;P31;571868.59;6279197.1;0.5;1.5;=;30;9;E1;1;139;6;3;3;7;8;4;4;41;138.627182;630.5922241;2136.035645;607.4536743;20
1126;P30;571870.67;6279216.05;0;0.5;<;20;9;E1;0.5;139;6;3;3;7;8;4;4;41;131.5518799;640.5114746;2134.140869;599.0826416;28.28427124
1127;P30;571870.67;6279216.05;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;131.5518799;640.5114746;2134.140869;599.0826416;28.28427124
1128;P29;571871.8;6279233.87;0;0.5;<;20;9;E1;0.5;139;6;3;3;7;8;4;4;41;110.7912292;661.6522827;2120.647461;576.8881836;10
1129;P29;571871.8;6279233.87;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;110.7912292;661.6522827;2120.647461;576.8881836;10
1130;P28;571877.19;6279080.51;0;0.8;<;20;1;E1;0.8;139;6;3;3;7;8;4;4;41;204.4215698;513.4761353;2152.561279;703.2780151;10
1131;P28;571877.19;6279080.51;0.8;1.5;<;20;1;E2;0.7;139;6;3;3;7;8;4;4;41;204.4215698;513.4761353;2152.561279;703.2780151;10
1132;P27;571878.93;6279095.95;0;0.8;=;20;1;E1;0.8;139;6;3;3;7;8;4;4;41;197.2728424;523.3222046;2150.122803;694.6221924;20
1133;P27;571878.93;6279095.95;0.8;1.6;<;20;1;E2;0.8;139;6;3;3;7;8;4;4;41;197.2728424;523.3222046;2150.122803;694.6221924;20
1134;P26;571880.79;6279115.81;0;0.8;=;45;9;E1;0.8;139;6;3;3;7;8;4;4;41;183.7753448;543.03125;2145.377686;677.4215698;40
1135;P26;571880.79;6279115.81;0.8;1.6;<;20;1;E2;0.8;139;6;3;3;7;8;4;4;41;183.7753448;543.03125;2145.377686;677.4215698;40
