N;NOM;XL93;YL93;FROM;TO;C10C40_LD;C10C40;OUT;ECH;EP;ALT;LITHO;GEOLE;CLC;Copernic;GEOBAP;COPER_H2;GEOBAP_H2;GEO_COPER_H2;dist_basias;dist_basol;dist_centre;dist_eau;dist_route
1;Z91P6;567096.32;6273022.49;0.9;2;<;20;1;E2;1.1;164.2630737;4;2;5;7;8;4;4;42;166.6768646;1625.420166;9516.828125;1418.731812;28.28427124
2;Z91P6;567096.32;6273022.49;0;0.9;<;20;1;E1;0.9;164.2630737;4;2;5;7;8;4;4;42;166.6768646;1625.420166;9516.828125;1418.731812;28.28427124
3;DMP11;567123.92;6272921.19;0;0.9;<;20;1;E1;0.9;164.2179967;4;2;5;7;8;4;4;42;182.8474121;1679.637695;9564.875977;1332.253784;20
4;DMP11;567123.92;6272921.19;0.9;1.9;=;20;1;E2;1;164.2179967;4;2;5;7;8;4;4;42;182.8474121;1679.637695;9564.875977;1332.253784;20
5;Z91P5;567125.48;6273061.35;0;0.7;<;20;1;E1;0.7;164;4;2;5;7;8;4;4;42;212.2045593;1575.772949;9467.490234;1422.70874;64.03124237
6;Z91P5;567125.48;6273061.35;0.7;1.7;<;20;1;E2;1;164;4;2;5;7;8;4;4;42;212.2045593;1575.772949;9467.490234;1422.70874;64.03124237
7;Z91P5;567125.48;6273061.35;1.7;3;<;20;1;E3;1.3;164;4;2;5;7;8;4;4;42;212.2045593;1575.772949;9467.490234;1422.70874;64.03124237
8;Z91P4;567155.31;6273103.88;0.7;1.5;<;20;1;E2;0.8;164;4;2;5;7;8;4;4;42;259.384613;1526.148804;9418.158203;1428.425659;64.03124237
9;Z91P4;567155.31;6273103.88;0;0.7;<;20;1;E1;0.7;164;4;2;5;7;8;4;4;42;259.384613;1526.148804;9418.158203;1428.425659;64.03124237
10;CUVCHENT2;567175.19;6272683.69;2;2.8;<;20;1;E3;0.8;165;4;2;5;2;8;3;4;32;353.9937439;1839.967773;9699.19043;1156.02771;44.72135925
11;CUVCHENT2;567175.19;6272683.69;1;2;<;20;1;E2;1;165;4;2;5;2;8;3;4;32;353.9937439;1839.967773;9699.19043;1156.02771;44.72135925
12;CUVCHENT1;567175.2;6272685.88;1;1.7;<;20;1;E2;0.7;165;4;2;5;2;8;3;4;32;353.9937439;1839.967773;9699.19043;1156.02771;44.72135925
13;CUVCHENT3;567177.62;6272683.89;1;2;<;20;1;E2;1;165;4;2;5;2;8;3;4;32;353.9937439;1839.967773;9699.19043;1156.02771;44.72135925
14;CUVCHENT3;567177.62;6272683.89;2;2.9;<;20;1;E3;0.9;165;4;2;5;2;8;3;4;32;353.9937439;1839.967773;9699.19043;1156.02771;44.72135925
15;Z91P2;567183.59;6273162.63;0;0.6;<;20;1;E1;0.6;164;4;2;5;7;8;4;4;42;298.8126831;1462.291504;9355.035156;1450.413696;50
16;Z91P2;567183.59;6273162.63;0.6;1.2;<;20;1;E1;0.6;164;4;2;5;7;8;4;4;42;298.8126831;1462.291504;9355.035156;1450.413696;50
17;Z91P2;567183.59;6273162.63;1.2;3;<;20;1;E3;1.8;164;4;2;5;7;8;4;4;42;298.8126831;1462.291504;9355.035156;1450.413696;50
18;Z130P1;567186.69;6272907.6;0.5;1.3;<;20;1;E1;0.8;164;4;2;5;7;8;4;4;42;243.6735077;1649.116821;9529.111328;1279.140381;31.62277603
19;Z130P1;567186.69;6272907.6;1.3;3;NA;NA;1;E3;1.7;164;4;2;5;7;8;4;4;42;243.6735077;1649.116821;9529.111328;1279.140381;31.62277603
20;Z130P1;567186.69;6272907.6;0;0.5;NA;NA;1;E1;0.5;164;4;2;5;7;8;4;4;42;243.6735077;1649.116821;9529.111328;1279.140381;31.62277603
21;Z1P9;567192.26;6272555.93;0;0.5;<;20;1;E1;0.5;165;4;2;3;7;8;4;4;42;323.3763428;1937.972168;9778.641602;1078.378418;22.36067963
22;Z1P9;567192.26;6272555.93;2;3;<;20;1;E3;1;165;4;2;3;7;8;4;4;42;323.3763428;1937.972168;9778.641602;1078.378418;22.36067963
23;Z91P3;567193.52;6273132.35;0.6;1.2;<;20;1;E1;0.6;164;4;2;5;7;8;4;4;42;309.3760986;1476.801636;9368.517578;1421.724365;67.08203888
24;Z91P3;567193.52;6273132.35;0;0.6;<;20;1;E1;0.6;164;4;2;5;7;8;4;4;42;309.3760986;1476.801636;9368.517578;1421.724365;67.08203888
25;Z1P8;567201.26;6272528.35;0;0.5;<;20;1;E1;0.5;165;4;2;3;7;8;4;4;42;303.7029114;1955.003662;9793.09082;1070.18689;41.23105621
26;Z1P8;567201.26;6272528.35;0.5;1.5;=;40;9;E1;1;165;4;2;3;7;8;4;4;42;303.7029114;1955.003662;9793.09082;1070.18689;41.23105621
27;Z91P1;567219.19;6273181.86;0.5;1.6;<;20;1;E1;1.1;164;4;2;5;7;8;4;4;42;311.5153503;1426.979004;9319.517578;1444.991333;63.24555206
28;Z91P1;567219.19;6273181.86;1.6;3;<;20;1;E3;1.4;164;4;2;5;7;8;4;4;42;311.5153503;1426.979004;9319.517578;1444.991333;63.24555206
29;Z91P1;567219.19;6273181.86;0;0.5;<;20;1;E1;0.5;164;4;2;5;7;8;4;4;42;311.5153503;1426.979004;9319.517578;1444.991333;63.24555206
30;DMP4;567222.54;6272837.24;0.9;1.8;<;20;1;E2;0.9;164;4;2;5;7;8;4;4;42;300.8753357;1680.45105;9550.199219;1204.200928;14.14213562
31;DMP4;567222.54;6272837.24;1.8;3;<;20;1;E3;1.2;164;4;2;5;7;8;4;4;42;300.8753357;1680.45105;9550.199219;1204.200928;14.14213562
32;DMP4;567222.54;6272837.24;0;0.9;<;20;1;E1;0.9;164;4;2;5;7;8;4;4;42;300.8753357;1680.45105;9550.199219;1204.200928;14.14213562
33;Z1P3;567225.93;6272468.29;0;0.6;=;20;1;E1;0.6;165;4;2;3;7;8;4;4;42;239.8771667;1991.337402;9815.94043;1019.509705;44.72135925
34;Z1P3;567225.93;6272468.29;0.6;1.5;<;20;1;E1;0.9;165;4;2;3;7;8;4;4;42;239.8771667;1991.337402;9815.94043;1019.509705;44.72135925
35;DMP8;567228.74;6272965.27;0;0.7;<;20;1;E1;0.7;164;4;2;5;7;8;4;4;42;280.8323059;1585.085571;9465.516602;1281.444458;50
36;DMP8;567228.74;6272965.27;0.7;1.8;<;20;1;E2;1.1;164;4;2;5;7;8;4;4;42;280.8323059;1585.085571;9465.516602;1281.444458;50
37;Z1P7;567233.2;6272534.1;0;0.9;<;20;1;E1;0.9;165;4;2;3;7;8;4;4;42;298.8703003;1934.42688;9765.496094;1033.682739;40
38;Z1P7;567233.2;6272534.1;1.7;3;<;20;1;E3;1.3;165;4;2;3;7;8;4;4;42;298.8703003;1934.42688;9765.496094;1033.682739;40
39;Z1P6;567235.84;6272508.88;0;0.5;<;20;9;E1;0.5;165;4;2;3;7;8;4;4;42;278.9025879;1951.694214;9780.004883;1025.524292;60
40;Z1P6;567235.84;6272508.88;0.5;1.6;<;20;1;E1;1.1;165;4;2;3;7;8;4;4;42;278.9025879;1951.694214;9780.004883;1025.524292;60
41;Z133P4;567237.1;6272438.23;0;0.8;<;20;1;E1;0.8;165;4;2;3;7;8;4;4;42;209.0642395;2012.528687;9830.9375;999.5999146;44.72135925
42;Z133P4;567237.1;6272438.23;0.8;2;<;20;1;E2;1.2;165;4;2;3;7;8;4;4;42;209.0642395;2012.528687;9830.9375;999.5999146;44.72135925
43;DMP5;567241.23;6272928.35;0;0.6;<;20;1;E1;0.6;164;4;2;5;7;8;4;4;42;291.1933594;1602.480347;9479.517578;1253.993652;22.36067963
44;DMP5;567241.23;6272928.35;0.6;1.7;<;20;1;E2;1.1;164;4;2;5;7;8;4;4;42;291.1933594;1602.480347;9479.517578;1253.993652;22.36067963
45;Z2T4;567254.8;6272529.71;0.5;1.5;=;40;1;E1;1;165;4;2;3;7;8;4;4;42;298.4417114;1924.367798;9751.730469;1015.529419;41.23105621
46;Z2T4;567254.8;6272529.71;0;0.5;=;40;1;E1;0.5;165;4;2;3;7;8;4;4;42;298.4417114;1924.367798;9751.730469;1015.529419;41.23105621
47;Z133P2;567257.45;6272387.28;0.6;1.7;<;20;1;E2;1.1;165.5695508;4;2;3;7;8;4;4;42;158.4608917;2046.879028;9853.838867;964.6242676;41.23105621
48;Z133P2;567257.45;6272387.28;1.7;3;<;20;1;E3;1.3;165.5695508;4;2;3;7;8;4;4;42;158.4608917;2046.879028;9853.838867;964.6242676;41.23105621
49;Z133P2;567257.45;6272387.28;0;0.6;<;20;1;E1;0.6;165.5695508;4;2;3;7;8;4;4;42;158.4608917;2046.879028;9853.838867;964.6242676;41.23105621
50;DMP6;567268.45;6272974.48;0.7;1.8;<;20;1;E2;1.1;164;4;2;5;7;8;4;4;42;321.3147583;1552.485962;9430.047852;1258.967773;22.36067963
51;DMP6;567268.45;6272974.48;1.8;3;<;20;1;E3;1.2;164;4;2;5;7;8;4;4;42;321.3147583;1552.485962;9430.047852;1258.967773;22.36067963
52;DMP6;567268.45;6272974.48;0;0.7;<;20;1;E1;0.7;164;4;2;5;7;8;4;4;42;321.3147583;1552.485962;9430.047852;1258.967773;22.36067963
53;Z1T2;567268.88;6272461.36;0;0.5;<;20;1;E1;0.5;165;4;2;3;7;8;4;4;42;228.8245087;1980.516235;9795.829102;978.62146;50.99019623
54;Z1T2;567268.88;6272461.36;0.5;1.5;<;20;1;E1;1;165;4;2;3;7;8;4;4;42;228.8245087;1980.516235;9795.829102;978.62146;50.99019623
55;Z133P3;567270.09;6272363.89;0;0.5;<;20;1;E1;0.5;165.417995;4;2;3;7;8;4;4;42;129.1381226;2068.806641;9869.051758;946.4143066;36.05551147
56;Z133P3;567270.09;6272363.89;2;3;<;20;1;E3;1;165.417995;4;2;3;7;8;4;4;42;129.1381226;2068.806641;9869.051758;946.4143066;36.05551147
57;DMP9;567275.88;6273053.28;0.5;1.7;=;250;1;E2;1.2;164;4;2;5;7;8;4;4;42;345.8068542;1483.675171;9366.751953;1308.625244;42.42640686
58;DMP9;567275.88;6273053.28;1.7;3;=;30;1;E3;1.3;164;4;2;5;7;8;4;4;42;345.8068542;1483.675171;9366.751953;1308.625244;42.42640686
59;DMP9;567275.88;6273053.28;0;0.5;=;360;9;E1;0.5;164;4;2;5;7;8;4;4;42;345.8068542;1483.675171;9366.751953;1308.625244;42.42640686
60;Z1T5;567277.43;6272493.53;0;0.6;<;20;1;E1;0.6;165;4;2;3;7;8;4;4;42;259.4953918;1949.405396;9767.106445;980.8669434;50
61;Z1T5;567277.43;6272493.53;0.6;1.5;<;20;1;E1;0.9;165;4;2;3;7;8;4;4;42;259.4953918;1949.405396;9767.106445;980.8669434;50
62;Z133P1;567278.05;6272410.14;0.5;1.8;=;20;1;E2;1.3;165.1137072;4;2;3;7;8;4;4;42;179.9740448;2019.850098;9825.573242;951.8928223;44.72135925
63;Z133P1;567278.05;6272410.14;0;0.5;=;310;1;E1;0.5;165.1137072;4;2;3;7;8;4;4;42;179.9740448;2019.850098;9825.573242;951.8928223;44.72135925
64;DMP12;567281.82;6273140.29;0.8;1.8;<;20;1;E2;1;164;4;2;5;7;8;4;4;42;390.7044678;1408.587769;9296.761719;1368.831665;10
65;DMP12;567281.82;6273140.29;0;0.8;<;20;1;E1;0.8;164;4;2;5;7;8;4;4;42;390.7044678;1408.587769;9296.761719;1368.831665;10
66;DMP12;567281.82;6273140.29;1.8;3;<;20;1;E3;1.2;164;4;2;5;7;8;4;4;42;390.7044678;1408.587769;9296.761719;1368.831665;10
67;Z107P2;567285.76;6272331.18;0.7;2;<;20;1;E2;1.3;165.0179997;4;2;3;7;8;4;4;42;103.9973831;2076.278564;9877.581055;919.2388306;36.05551147
68;Z107P2;567285.76;6272331.18;0;0.7;<;20;1;E1;0.7;165.0179997;4;2;3;7;8;4;4;42;103.9973831;2076.278564;9877.581055;919.2388306;36.05551147
69;Z2T3;567290.27;6272530.44;0.5;1.7;<;20;1;E2;1.2;165;4;2;3;7;8;4;4;42;300.305603;1909.57251;9731.124023;988.4331055;50
70;Z2T3;567290.27;6272530.44;0;0.5;=;30;9;E1;0.5;165;4;2;3;7;8;4;4;42;300.305603;1909.57251;9731.124023;988.4331055;50
71;Z132P1;567292.85;6272418.73;1.4;3;<;20;1;E3;1.6;165;4;2;3;7;8;4;4;42;193.3986969;2001.730957;9804.639648;936.3759766;22.36067963
72;Z132P1;567292.85;6272418.73;0;0.5;<;20;1;E1;0.5;165;4;2;3;7;8;4;4;42;193.3986969;2001.730957;9804.639648;936.3759766;22.36067963
73;Z132P1;567292.85;6272418.73;0.5;1.4;<;20;1;E1;0.9;165;4;2;3;7;8;4;4;42;193.3986969;2001.730957;9804.639648;936.3759766;22.36067963
74;Z132P2;567301.31;6272398.65;0;0.7;<;20;1;E1;0.7;165;4;2;3;7;8;4;4;42;173.9720001;2019.512329;9819.314453;929.7311401;36.05551147
75;Z132P2;567301.31;6272398.65;0.7;1.7;<;20;1;E2;1;165;4;2;3;7;8;4;4;42;173.9720001;2019.512329;9819.314453;929.7311401;36.05551147
76;Z1T1;567302.68;6272437.51;0.5;1.5;<;20;1;E1;1;165;4;2;3;7;8;4;4;42;215.2019043;1979.372559;9783.176758;934.0770874;10
77;Z1T1;567302.68;6272437.51;0;0.5;=;25;1;E1;0.5;165;4;2;3;7;8;4;4;42;215.2019043;1979.372559;9783.176758;934.0770874;10
78;Z2T1;567307.26;6272504.52;0;0.5;=;30;1;E1;0.5;165;4;2;3;7;8;4;4;42;273.7192993;1926.293335;9739.291016;957.5489502;22.36067963
79;Z2T1;567307.26;6272504.52;0.5;1.3;=;20;1;E1;0.8;165;4;2;3;7;8;4;4;42;273.7192993;1926.293335;9739.291016;957.5489502;22.36067963
80;Z108P1;567307.76;6272310.59;0;0.7;<;20;9;E1;0.7;165.1992553;4;2;3;7;8;4;4;42;94.98766327;2048.994873;9878.842773;894.9860229;28.28427124
81;Z108P1;567307.76;6272310.59;0.7;1.7;<;20;1;E2;1;165.1992553;4;2;3;7;8;4;4;42;94.98766327;2048.994873;9878.842773;894.9860229;28.28427124
82;Z107P1;567309.29;6272360.79;0;0.5;<;20;1;E1;0.5;165;4;2;3;7;8;4;4;42;139.1569519;2050.738525;9841.955078;908.0198364;41.23105621
83;Z107P1;567309.29;6272360.79;0.5;2.1;<;20;1;E2;1.6;165;4;2;3;7;8;4;4;42;139.1569519;2050.738525;9841.955078;908.0198364;41.23105621
84;CUVHM16T1;567316.72;6272538.52;0;0.5;=;150;1;E1;0.5;165;4;2;3;7;8;4;4;42;314.9092712;1886.343506;9703.277344;966.0227661;28.28427124
85;CUVHM16T1;567316.72;6272538.52;0.5;1.6;=;190;1;E1;1.1;165;4;2;3;7;8;4;4;42;314.9092712;1886.343506;9703.277344;966.0227661;28.28427124
86;Z1T4;567319.08;6272474.98;0.5;0.9;<;20;1;E1;0.4;165;4;2;3;7;8;4;4;42;246.7570801;1948.140869;9754.395508;936.2157593;10
87;Z1T4;567319.08;6272474.98;0;0.5;<;20;1;E1;0.5;165;4;2;3;7;8;4;4;42;246.7570801;1948.140869;9754.395508;936.2157593;10
88;Z31P5;567319.86;6272413.7;0;0.5;<;20;1;E1;0.5;165;4;2;3;7;8;4;4;42;189.416626;2001.540039;9798.397461;914.1662598;20
89;Z31P5;567319.86;6272413.7;1.5;3;<;20;1;E3;1.5;165;4;2;3;7;8;4;4;42;189.416626;2001.540039;9798.397461;914.1662598;20
90;DMP10;567322.17;6273066.43;0;0.8;<;20;1;E1;0.8;164;4;2;5;7;8;4;4;42;399.4986572;1436.74939;9317.076172;1289.728638;22.36067963
91;DMP10;567322.17;6273066.43;0.8;1.5;<;20;1;E2;0.7;164;4;2;5;7;8;4;4;42;399.4986572;1436.74939;9317.076172;1289.728638;22.36067963
92;Z4P2;567324.27;6272368.92;0.6;1.7;<;20;1;E2;1.1;165;4;2;3;7;8;4;4;42;156.7707062;2032.943848;9821.06543;891.8519897;28.28427124
93;Z4P2;567324.27;6272368.92;0;0.6;<;20;1;E1;0.6;165;4;2;3;7;8;4;4;42;156.7707062;2032.943848;9821.06543;891.8519897;28.28427124
94;Z2T2;567329.92;6272539.73;0;0.5;=;30;1;E1;0.5;165;4;2;3;7;8;4;4;42;317.0802002;1881.590698;9696.430664;957.1311035;20
95;DMP1;567331.18;6272850.26;0.6;1.7;<;20;1;E2;1.1;164;4;2;5;11;8;4;4;42;393.1594849;1615.173096;9472.789063;1133.578369;92.1954422
96;DMP1;567331.18;6272850.26;1.7;3;<;20;1;E3;1.3;164;4;2;5;11;8;4;4;42;393.1594849;1615.173096;9472.789063;1133.578369;92.1954422
97;DMP1;567331.18;6272850.26;0;0.6;<;20;1;E1;0.6;164;4;2;5;11;8;4;4;42;393.1594849;1615.173096;9472.789063;1133.578369;92.1954422
98;Z5T10;567333.42;6272345.39;0;0.5;<;20;1;E1;0.5;165;4;2;3;7;8;4;4;42;136.9082031;2038.146606;9836.460938;873.6131592;14.14213562
99;Z5T10;567333.42;6272345.39;0.5;1.5;<;20;1;E1;1;165;4;2;3;7;8;4;4;42;136.9082031;2038.146606;9836.460938;873.6131592;14.14213562
100;Z4P1;567333.93;6272367.26;0.6;1.6;<;20;1;E2;1;165;4;2;3;7;8;4;4;42;161.7066956;2028.583984;9814.310547;882.3264771;22.36067963
101;Z4P1;567333.93;6272367.26;0;0.6;<;20;1;E1;0.6;165;4;2;3;7;8;4;4;42;161.7066956;2028.583984;9814.310547;882.3264771;22.36067963
102;Z31P2;567342.57;6272392.1;0.6;1.9;<;20;1;E2;1.3;165;4;2;3;7;8;4;4;42;184.0050507;2006.225708;9792.807617;879.2041626;30
103;Z31P2;567342.57;6272392.1;1.9;3;<;20;1;E3;1.1;165;4;2;3;7;8;4;4;42;184.0050507;2006.225708;9792.807617;879.2041626;30
104;Z31P2;567342.57;6272392.1;0;0.6;<;20;1;E1;0.6;165;4;2;3;7;8;4;4;42;184.0050507;2006.225708;9792.807617;879.2041626;30
105;Z15T1;567347.19;6272451.9;0;0.5;=;20;1;E1;0.5;165;4;2;3;7;8;4;4;42;237.6305084;1952.340088;9748.658203;900.7774658;28.28427124
106;Z15T1;567347.19;6272451.9;0.5;1.5;<;20;1;E1;1;165;4;2;3;7;8;4;4;42;237.6305084;1952.340088;9748.658203;900.7774658;28.28427124
107;Z15T1;567347.19;6272451.9;1.5;2.5;<;20;1;E2;1;165;4;2;3;7;8;4;4;42;237.6305084;1952.340088;9748.658203;900.7774658;28.28427124
108;Z31P3;567347.37;6272384.63;0;0.5;<;20;1;E1;0.5;165;4;2;3;7;8;4;4;42;175.4692535;2015.240234;9800.182617;875.956604;30
109;Z31P3;567347.37;6272384.63;0.5;2;<;20;1;E2;1.5;165;4;2;3;7;8;4;4;42;175.4692535;2015.240234;9800.182617;875.956604;30
110;Z4T1;567347.96;6272360.19;0.4;1.3;<;20;1;E1;0.9;165;4;2;3;7;8;4;4;42;158.9108429;2033.296875;9814.945313;869.7700806;10
111;Z4T1;567347.96;6272360.19;0;0.4;<;20;1;S2;0.4;165;4;2;3;7;8;4;4;42;158.9108429;2033.296875;9814.945313;869.7700806;10
112;Z4T2;567350.68;6272358.06;0.5;1.2;<;20;1;E1;0.7;165;4;2;3;7;8;4;4;42;158.9108429;2033.296875;9814.945313;869.7700806;10
113;Z4T2;567350.68;6272358.06;1.2;2;<;20;1;E2;0.8;165;4;2;3;7;8;4;4;42;158.9108429;2033.296875;9814.945313;869.7700806;10
114;Z15T2;567353.41;6272488.11;0.5;1.5;<;20;1;E1;1;165;4;2;3;7;8;4;4;42;278.4131165;1912.097656;9712.514648;908.0198364;28.28427124
115;Z15T2;567353.41;6272488.11;0;0.5;=;85;1;E1;0.5;165;4;2;3;7;8;4;4;42;278.4131165;1912.097656;9712.514648;908.0198364;28.28427124
116;Z15T6;567356.28;6272515.11;0;0.4;=;20;1;S2;0.4;165;4;2;3;7;8;4;4;42;297.0701294;1894.258301;9697.863281;916.7878418;20
117;Z15T6;567356.28;6272515.11;0.4;1.7;<;20;1;E1;1.3;165;4;2;3;7;8;4;4;42;297.0701294;1894.258301;9697.863281;916.7878418;20
118;Z15T3;567357.39;6272497.86;0.5;1.6;<;20;1;E1;1.1;165;4;2;3;7;8;4;4;42;287.7190552;1903.172607;9705.186523;912.3595581;22.36067963
119;Z15T3;567357.39;6272497.86;0;0.5;=;100;1;E1;0.5;165;4;2;3;7;8;4;4;42;287.7190552;1903.172607;9705.186523;912.3595581;22.36067963
120;Z5T9;567362.74;6272355.12;0.6;1.5;=;20;1;E1;0.9;165;4;2;3;7;8;4;4;42;164.0983124;2017.623779;9808.873047;847.7027588;10
121;Z5T9;567362.74;6272355.12;0.2;0.6;<;20;1;E1;0.4;165;4;2;3;7;8;4;4;42;164.0983124;2017.623779;9808.873047;847.7027588;10
122;Z31P1;567362.94;6272377.83;0.6;1.6;<;20;1;E2;1;165;4;2;3;7;8;4;4;42;186.9049377;2006.683105;9786.691406;857.0297241;10
123;Z31P1;567362.94;6272377.83;0;0.6;<;20;1;E1;0.6;165;4;2;3;7;8;4;4;42;186.9049377;2006.683105;9786.691406;857.0297241;10
124;Z108P2;567363.08;6272317.71;0.7;1.9;<;20;1;E2;1.2;165.1344316;4;2;3;7;8;4;4;42;143.9550476;2002.139038;9831.09668;839.3449707;28.28427124
125;Z108P2;567363.08;6272317.71;0;0.7;<;20;1;E1;0.7;165.1344316;4;2;3;7;8;4;4;42;143.9550476;2002.139038;9831.09668;839.3449707;28.28427124
126;Z15T4;567364.41;6272530.92;0.5;1.2;=;570;1;E1;0.7;165;4;2;3;7;8;4;4;42;319.3109131;1871.898315;9676.412109;917.0605469;22.36067963
127;Z15T4;567364.41;6272530.92;0;0.5;=;820;1;E1;0.5;165;4;2;3;7;8;4;4;42;319.3109131;1871.898315;9676.412109;917.0605469;22.36067963
128;Z15T5;567365.82;6272523.65;0.5;1.1;<;20;1;E1;0.6;165;4;2;3;7;8;4;4;42;309.9855652;1880.812256;9683.730469;912.4143677;28.28427124
129;Z15T5;567365.82;6272523.65;0;0.5;<;20;1;E1;0.5;165;4;2;3;7;8;4;4;42;309.9855652;1880.812256;9683.730469;912.4143677;28.28427124
130;DMP7;567368.97;6273066.75;1;2;=;20;1;E2;1;164;4;2;5;7;8;4;4;42;437.7752686;1412.309082;9288.626953;1263.724609;10
131;DMP7;567368.97;6273066.75;0;1;<;20;1;E1;1;164;4;2;5;7;8;4;4;42;437.7752686;1412.309082;9288.626953;1263.724609;10
132;DMP2;567369.28;6272936.04;0.6;1.7;<;20;1;E2;1.1;164;4;2;5;11;8;4;4;42;421.0101929;1526.413818;9387.719727;1159.741333;84.85281372
133;DMP2;567369.28;6272936.04;1.7;3;<;20;1;E3;1.3;164;4;2;5;11;8;4;4;42;421.0101929;1526.413818;9387.719727;1159.741333;84.85281372
134;DMP2;567369.28;6272936.04;0;0.6;<;20;1;E1;0.6;164;4;2;5;11;8;4;4;42;421.0101929;1526.413818;9387.719727;1159.741333;84.85281372
135;Z5T8;567371.87;6272340.73;1.2;3;<;20;1;E3;1.8;165;4;2;3;7;8;4;4;42;164.413681;2003.87854;9809.55957;835.2245483;10
136;Z5T8;567371.87;6272340.73;0;0.4;=;90;1;S2;0.4;165;4;2;3;7;8;4;4;42;164.413681;2003.87854;9809.55957;835.2245483;10
137;Z5T8;567371.87;6272340.73;0.4;1.2;<;20;1;E1;0.8;165;4;2;3;7;8;4;4;42;164.413681;2003.87854;9809.55957;835.2245483;10
138;CUVSE2T3;567372.33;6272561.65;1.8;2.6;<;20;1;E3;0.8;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
139;CUVSE2T3;567372.33;6272561.65;2.6;3.4;=;210;1;E3;0.8;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
140;CUVSE2T4;567373.89;6272563.52;2.8;3.1;<;20;1;E3;0.3;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
141;CUVSE2T4;567373.89;6272563.52;1.8;2.8;<;20;1;E3;1;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
142;Z31P4;567376.42;6272389.41;0.4;1.7;=;35;1;E1;1.3;165;4;2;3;7;8;4;4;42;200.9324646;1993.393433;9772.563477;850.9406738;10
143;Z31P4;567376.42;6272389.41;0;0.4;=;20;1;S2;0.4;165;4;2;3;7;8;4;4;42;200.9324646;1993.393433;9772.563477;850.9406738;10
144;CUVSE2T2;567377.42;6272559.93;2;3;=;20;1;E3;1;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
145;CUVSE2T2;567377.42;6272559.93;3;3.6;=;25;1;E4;0.6;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
146;CUVSE2T5;567377.52;6272561.35;0;2;<;20;1;E1;2;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
147;CUVSE2T6;567378.52;6272561.98;2;3;<;20;1;E3;1;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
148;CUVSE2T6;567378.52;6272561.98;3;3.7;=;110;1;E4;0.7;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
149;CUVSE2T1;567380.62;6272557.95;1;2;<;20;1;E2;1;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
150;CUVSE2T1;567380.62;6272557.95;2;3;=;20;1;E3;1;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
151;CUVSE2T1;567380.62;6272557.95;3;3.8;=;20;1;E4;0.8;165;4;2;3;7;8;4;4;42;350.9083252;1840.635864;9647.655273;922.8217773;20
152;Z5T7;567381.07;6272335.4;0.6;1.3;<;20;1;E1;0.7;165.0265052;4;2;3;7;8;4;4;42;157.9982758;1998.694824;9816.972656;832.4061279;14.14213562
153;Z5T7;567381.07;6272335.4;0;0.6;<;20;1;E1;0.6;165.0265052;4;2;3;7;8;4;4;42;157.9982758;1998.694824;9816.972656;832.4061279;14.14213562
154;Z5T7;567381.07;6272335.4;1.3;1.8;<;20;1;E2;0.5;165.0265052;4;2;3;7;8;4;4;42;157.9982758;1998.694824;9816.972656;832.4061279;14.14213562
155;Z5T6;567392.69;6272352.22;1.5;2.7;<;20;1;E3;1.2;165;4;2;3;7;8;4;4;42;186.1296692;1992.089844;9788.723633;819.0848389;10
156;Z5T6;567392.69;6272352.22;0;0.4;<;20;1;S2;0.4;165;4;2;3;7;8;4;4;42;186.1296692;1992.089844;9788.723633;819.0848389;10
157;Z5T6;567392.69;6272352.22;0.4;1.5;<;20;1;E1;1.1;165;4;2;3;7;8;4;4;42;186.1296692;1992.089844;9788.723633;819.0848389;10
158;Z5T4;567396.79;6272329.57;0.5;1.2;<;20;1;E1;0.7;165;4;2;3;7;8;4;4;42;174.0903625;1981.596558;9803.56543;813.2035522;10
159;Z5T4;567396.79;6272329.57;0.1;0.5;=;25;1;E1;0.4;165;4;2;3;7;8;4;4;42;174.0903625;1981.596558;9803.56543;813.2035522;10
160;Z5T5;567397.61;6272338.72;0;0.4;<;20;1;S2;0.4;165;4;2;3;9;8;4;4;42;179.9329224;1986.824951;9796.142578;816.0882568;0
161;Z5T5;567397.61;6272338.72;0.4;1.5;<;20;1;E1;1.1;165;4;2;3;9;8;4;4;42;179.9329224;1986.824951;9796.142578;816.0882568;0
162;DMP3;567405.58;6272997.86;0.5;1.6;<;20;1;E1;1.1;164;4;2;5;11;8;4;4;42;463.4613037;1446.010376;9309.830078;1184.440796;80.62257385
